id,texte_brut,texte_nettoye,nb_mots,label
Technique_synth_03.txt,Guide de configuration réseau pour les postes de travail du département IT. Note technique sur la migration de la base de données vers PostgreSQL. Rapport de test de la nouvelle plateforme de gestion électronique de documents.,Guide de configuration réseau pour les postes de travail du département IT. Note technique sur la migration de la base de données vers PostgreSQL. Rapport de test de la nouvelle plateforme de gestion électronique de documents.,36,Technique
Technique_synth_04.txt,Rapport de test de la nouvelle plateforme de gestion électronique de documents. Note technique sur la migration de la base de données vers PostgreSQL. Spécifications techniques du système d'encodage vidéo haute définition.,Rapport de test de la nouvelle plateforme de gestion électronique de documents. Note technique sur la migration de la base de données vers PostgreSQL. Spécifications techniques du système d'encodage vidéo haute définition.,32,Technique
Technique_synth_05.txt,Guide de configuration réseau pour les postes de travail du département IT. Spécifications techniques du système d'encodage vidéo haute définition. Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne.,Guide de configuration réseau pour les postes de travail du département IT. Spécifications techniques du système d'encodage vidéo haute définition. Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne.,33,Technique
Technique_synth_06.txt,Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne. Rapport de test de la nouvelle plateforme de gestion électronique de documents. Spécifications techniques du système d'encodage vidéo haute définition.,Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne. Rapport de test de la nouvelle plateforme de gestion électronique de documents. Spécifications techniques du système d'encodage vidéo haute définition.,33,Technique
Technique_synth_07.txt,Note technique sur la migration de la base de données vers PostgreSQL. Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne. Guide de configuration réseau pour les postes de travail du département IT.,Note technique sur la migration de la base de données vers PostgreSQL. Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne. Guide de configuration réseau pour les postes de travail du département IT.,37,Technique
Editorial_synth_00.txt,Charte éditoriale rappelant les principes de neutralité et de vérification des sources. Note de cadrage pour le reportage sur l'agriculture dans la région du Souss. Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée.,Charte éditoriale rappelant les principes de neutralité et de vérification des sources. Note de cadrage pour le reportage sur l'agriculture dans la région du Souss. Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée.,37,Editorial
Editorial_synth_01.txt,Note de cadrage pour le reportage sur l'agriculture dans la région du Souss. Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée. Charte éditoriale rappelant les principes de neutralité et de vérification des sources.,Note de cadrage pour le reportage sur l'agriculture dans la région du Souss. Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée. Charte éditoriale rappelant les principes de neutralité et de vérification des sources.,37,Editorial
Editorial_synth_02.txt,Brief éditorial pour le prochain numéro du journal télévisé du soir. Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée. Note de cadrage pour le reportage sur l'agriculture dans la région du Souss.,Brief éditorial pour le prochain numéro du journal télévisé du soir. Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée. Note de cadrage pour le reportage sur l'agriculture dans la région du Souss.,36,Editorial
Editorial_synth_03.txt,Conducteur d'émission détaillant le déroulé minute par minute du programme. Compte-rendu de la conférence de rédaction hebdomadaire. Brief éditorial pour le prochain numéro du journal télévisé du soir.,Conducteur d'émission détaillant le déroulé minute par minute du programme. Compte-rendu de la conférence de rédaction hebdomadaire. Brief éditorial pour le prochain numéro du journal télévisé du soir.,28,Editorial
Editorial_synth_04.txt,Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée. Brief éditorial pour le prochain numéro du journal télévisé du soir. Conducteur d'émission détaillant le déroulé minute par minute du programme.,Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée. Brief éditorial pour le prochain numéro du journal télévisé du soir. Conducteur d'émission détaillant le déroulé minute par minute du programme.,33,Editorial
Editorial_synth_05.txt,Note de cadrage pour le reportage sur l'agriculture dans la région du Souss. Conducteur d'émission détaillant le déroulé minute par minute du programme. Compte-rendu de la conférence de rédaction hebdomadaire.,Note de cadrage pour le reportage sur l'agriculture dans la région du Souss. Conducteur d'émission détaillant le déroulé minute par minute du programme. Compte-rendu de la conférence de rédaction hebdomadaire.,30,Editorial
Editorial_synth_06.txt,Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée. Charte éditoriale rappelant les principes de neutralité et de vérification des sources. Compte-rendu de la conférence de rédaction hebdomadaire.,Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée. Charte éditoriale rappelant les principes de neutralité et de vérification des sources. Compte-rendu de la conférence de rédaction hebdomadaire.,31,Editorial
Editorial_synth_07.txt,Brief éditorial pour le prochain numéro du journal télévisé du soir. Conducteur d'émission détaillant le déroulé minute par minute du programme. Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée.,Brief éditorial pour le prochain numéro du journal télévisé du soir. Conducteur d'émission détaillant le déroulé minute par minute du programme. Synopsis de la nouvelle émission culturelle prévue pour la grille de rentrée.,33,Editorial
